region	.1 Percentile	99.9 Percentile	Mean	Total
MIR429	1.7743	2.83715	2.28022	1286
TTLL10-AS1	1.73285	2.36358	2.10579	1286
TTLL10	1.77926	2.28315	2.07131	1286
TNFRSF18	1.77761	2.51544	2.19351	1286
TNFRSF4	1.76678	2.42504	2.1143	1286
SDF4	1.73212	2.44129	2.16014	1286
B3GALT6	1.71226	2.52616	2.18882	1286
C1QTNF12	1.71734	2.35915	2.02979	1286
UBE2J2	1.84358	2.51244	2.16633	1286
LINC01786	1.79021	2.47172	2.12636	1286
SCNN1D	1.77914	2.38746	2.07834	1286
ACAP3	1.847	2.42236	2.08835	1286
MIR6726	1.69897	2.94435	2.32536	1286
SNORD167	1.53557	2.59775	2.05574	1286
PUSL1	1.75244	2.45186	2.11444	1286
INTS11	1.77054	2.33872	2.03495	1286
MIR6727	1.57106	2.81748	2.2156	1286
CPTP	1.84778	2.58503	2.18897	1286
TAS1R3	1.95351	2.63015	2.25532	1286
DVL1	1.82	2.39846	2.09584	1286
MIR6808	1.61504	2.72822	2.12283	1286
MXRA8	1.65488	2.22616	1.91383	1286
AURKAIP1	1.71083	2.57944	2.18443	1286
CCNL2	1.75044	2.53002	2.20532	1286
MRPL20-AS1	1.77263	2.57486	2.18617	1286
MRPL20	1.67681	2.336	2.06954	1286
MRPL20-DT	1.51516	2.27429	1.90666	1286
ANKRD65	1.7918	2.60761	2.20618	1286
ANKRD65-AS1	1.6729	2.38172	2.06513	1286
TMEM88B	1.49131	2.10158	1.78752	1286
LINC01770	1.77044	2.37772	2.08432	1286
LOC107985729	1.7709	2.49903	2.15249	1286
VWA1	1.86451	2.35301	2.13024	1286
ATAD3C	0.95414	3.04759	2.03167	1286
ATAD3B	0.91381	2.93146	2.06412	1286
ATAD3A	1.71631	2.25815	2.04411	1286
TMEM240	1.73326	2.2026	1.96949	1286
SSU72	1.89734	2.28901	2.09915	1286
FNDC10	1.65751	2.29786	1.99665	1286
LOC105378586	1.736	2.16044	1.9565	1286
MIB2	1.96013	2.38987	2.17093	1286
LOC124903821	1.80606	2.24445	2.02064	1286
MMP23B	1.48821	2.61887	2.09268	1286
CDK11B	1.14458	3.35316	2.22072	1286
SLC35E2B	1.04803	3.24972	2.11818	1286
MMP23A	0.39608	3.77004	2.11943	1286
CDK11A	0.01251	3.42398	1.72564	1286
SLC35E2A	0.36431	3.58015	1.97625	1286
LOC112268218	1.13913	3.16707	2.00523	1286
NADK	1.88713	2.32944	2.10483	1286
GNB1	1.88344	2.31815	2.11713	1286
GNB1-DT	1.49903	2.1363	1.82785	1286
LOC124903822	1.83228	2.49203	2.17879	1286
CALML6	1.69208	2.39815	2.05606	1286
TMEM52	1.67827	2.42401	2.04609	1286
CFAP74	1.89526	2.17872	2.03836	1286
LOC107984872	1.75616	2.53145	2.15414	1286
LOC105378589	1.78527	2.28429	2.05379	1286
GABRD	1.8859	2.28643	2.09898	1286
LOC105378590	1.91104	2.27972	2.11727	1286
PRKCZ	1.92654	2.15887	2.05163	1286
PRKCZ-DT	1.85937	2.59215	2.22256	1286
PRKCZ-AS1	1.75228	2.44643	2.106	1286
FAAP20	1.90654	2.26815	2.11111	1286
LOC112268219	1.91816	2.6029	2.23883	1286
LOC105378593	1.71787	2.45445	2.11663	1286
LOC124903823	1.85147	2.29115	2.08605	1286
SKI	1.90706	2.17572	2.07656	1286
LOC124903824	1.74732	2.36415	2.06929	1286
MORN1	1.82054	2.21873	2.0939	1286
LOC100129534	1.66447	2.43834	2.03907	1286
RER1	1.90677	2.30843	2.118	1286
PEX10	1.95054	2.37515	2.15984	1286
PLCH2	1.89596	2.19586	2.07029	1286
TNFRSF14	1.78224	2.33186	2.08841	1286
MMEL1	1.74506	2.16273	2.00702	1286
MMEL1-AS1	1.6113	2.15415	1.94356	1286
LOC105378598	1.37632	2.23058	1.89836	1286
LOC124903825	1.627	2.44188	2.09126	1286
LOC124903826	1.58245	2.45015	2.10211	1286
ACTRT2	1.44236	2.255	1.88857	1286
LOC124903827	1.77525	2.20758	2.04071	1286
PRDM16-DT	1.76047	2.24315	2.03061	1286
PRDM16	1.79951	2.10186	1.99585	1286
MIR4251	1.51328	2.57543	2.07579	1286
LOC105378606	1.72593	2.30158	2.01858	1286
LOC107984909	1.63644	2.11244	1.91175	1286
LOC105378605	1.62277	2.35674	2.01994	1286
LOC124903828	1.79003	2.15101	1.99941	1286
LOC105378604	1.71611	2.10643	1.94459	1286
ARHGEF16	1.75134	2.1183	1.97158	1286
MEGF6	1.89116	2.09587	1.99156	1286
LOC105378608	1.67226	2.39501	2.07206	1286
MIR551A	1.45132	2.46329	1.95472	1286
TPRG1L	1.80416	2.38544	2.08937	1286
WRAP73	1.84022	2.36118	2.10314	1286
TP73	1.8698	2.15658	2.00074	1286
TP73-AS3	1.71954	2.2796	1.99053	1286
TP73-AS2	1.77413	2.45074	2.10224	1286
GFOD3P	1.85803	2.32662	2.05535	1286
CCDC27	1.7743	2.2266	1.99734	1286
SMIM1	1.66606	2.3588	1.99047	1286
LRRC47	1.83851	2.30448	2.08059	1286
CEP104	1.76611	2.23333	1.97999	1286
LOC124903829	1.68273	2.42117	2.02469	1286
DFFB	1.80339	2.2975	2.01616	1286
C1orf174	1.80354	2.40876	2.06358	1286
LINC01134	1.87903	3.15104	2.06548	1286
LINC01346	1.68506	2.14603	1.91678	1286
LINC01345	1.4739	2.25815	1.86353	1286
LINC02780	1.76457	2.0663	1.92498	1286
LINC01777	1.77026	2.11115	1.93687	1286
LOC105376674	1.69126	2.12086	1.89912	1286
LOC124904578	1.59839	2.20874	1.89104	1286
LINC01646	1.6299	2.06358	1.84213	1286
AJAP1	1.76127	2.03415	1.93124	1286
LINC02781	1.0047	2.11029	1.91292	1286
LOC124904589	1.39672	2.22959	1.97785	1286
LOC102724429	1.64238	2.21673	1.94783	1286
LINC02782	1.787	2.15516	1.95946	1286
LOC105376682	1.63567	2.18486	1.91559	1286
LOC124904590	1.75567	2.21344	1.99757	1286
LOC107984911	1.85477	2.22772	2.0409	1286
LOC105376686	1.64341	2.25744	1.97856	1286
LOC124900451	1.4406	2.45059	1.95247	1286
LOC124903830	1.79224	2.24273	2.03694	1286
MIR4689	1.41519	2.55701	2.02564	1286
NPHP4	1.96739	2.15759	2.05534	1286
KCNAB2	1.93216	2.15015	2.04233	1286
LOC124903831	1.55196	2.36587	1.96515	1286
CHD5	1.80957	2.08329	1.96225	1286
RPL22	1.87293	2.3149	2.0989	1286
RNF207-AS1	1.71021	2.40158	2.04496	1286
RNF207	1.87439	2.26343	2.0641	1286
ICMT	1.92354	2.36915	2.14761	1286
ICMT-DT	1.73721	2.37289	2.05459	1286
HES3	1.41338	2.18101	1.83599	1286
GPR153	1.75957	2.17829	1.96428	1286
ACOT7	1.95431	2.21843	2.09916	1286
HES2	1.9093	2.42417	2.18769	1286
ESPN	1.83891	2.22972	2.08208	1286
MIR4252	1.38177	2.42305	1.92234	1286
TNFRSF25	1.85716	2.35472	2.10741	1286
PLEKHG5	1.93028	2.17258	2.05104	1286
NOL9	1.79103	2.13515	1.98042	1286
TAS1R1	1.68144	2.14329	1.98291	1286
LOC107984912	1.80413	2.19101	2.00264	1286
ZBTB48	1.94251	2.40463	2.13911	1286
KLHL21	1.97086	2.36172	2.16623	1286
LOC107984913	1.85554	2.35258	2.12623	1286
PHF13	1.83841	2.23986	2.03275	1286
THAP3	1.88577	2.28672	2.08409	1286
DNAJC11	1.90006	2.28286	2.079	1286
LINC01672	1.70001	2.47702	1.9858	1286
LOC124904847	1.41468	2.45776	1.92539	1286
CAMTA1-DT	1.7819	2.61288	2.19981	1286
CAMTA1	1.957	2.08044	2.01246	1286
LOC124903832	1.94067	2.27386	2.09625	1286
CAMTA1-AS3	1.67865	2.20344	1.9652	1286
LOC124900385	1.73844	2.21872	1.97635	1286
CAMTA1-AS2	1.76544	2.18915	1.98094	1286
CAMTA1-AS1	1.66644	2.54158	2.09634	1286
LOC105376691	1.67593	2.18886	1.9449	1286
LOC105376689	1.74464	2.09943	1.90762	1286
VAMP3	1.85106	2.34402	2.08191	1286
PER3	1.88141	2.23217	2.04054	1286
LOC124903833	1.85039	2.28102	2.06649	1286
UTS2	1.81621	2.08915	1.95646	1286
TNFRSF9	1.91164	2.2593	2.09709	1286
PARK7	1.85111	2.25086	2.07668	1286
LOC124903834	1.87208	2.38415	2.12209	1286
ERRFI1	1.89713	2.25958	2.06748	1286
ERRFI1-DT	1.8969	2.1696	2.05033	1286
LOC107984915	1.70612	2.77702	1.98623	1286
LINC01714	1.72038	2.31943	2.05627	1286
LOC105376695	1.72854	2.16486	1.95832	1286
LOC124903835	1.83813	2.10786	1.96628	1286
SLC45A1	1.85934	2.19715	2.02307	1286
RERE	1.93924	2.20873	2.09896	1286
RERE-AS1	1.87634	2.32658	2.09878	1286
SNORD128	1.67264	2.82843	2.27048	1286
LOC124900452	1.41464	2.66101	2.13164	1286
ENO1	1.86716	2.32944	2.09092	1286
MIR6728	1.63965	2.40587	2.03952	1286
ENO1-AS1	1.72386	2.63435	2.1469	1286
LOC112268261	1.83027	2.23929	2.04003	1286
CA6	1.75693	2.22559	2.04334	1286
SLC2A7	1.89628	2.21158	2.07692	1286
SLC2A5	1.83545	2.20216	2.05583	1286
LOC124900441	1.53217	2.66875	2.13383	1286
GPR157	1.59541	2.18387	2.01079	1286
MIR34AHG	1.88618	2.23744	2.08802	1286
MIR34A	1.5489	2.63073	2.06822	1286
LNCTAM34A	1.86828	2.31331	2.08583	1286
H6PD	1.89184	2.40886	2.08918	1286
LOC124903836	1.68016	2.44072	2.05022	1286
SPSB1	1.89022	2.70858	2.04586	1286
LINC02606	1.71564	2.32501	2.02054	1286
SLC25A33	1.84891	2.38759	2.12249	1286
TMEM201	1.91863	2.34844	2.15908	1286
LOC124903837	1.62634	2.39016	2.08629	1286
PIK3CD	1.86141	2.22115	2.08657	1286
LOC105376712	1.60888	2.39601	2.01737	1286
PIK3CD-AS1	1.70431	2.45673	2.05968	1286
PIK3CD-AS2	1.77139	2.2423	2.037	1286
LOC124903839	1.82677	2.64348	2.19969	1286
CLSTN1	1.82477	2.2553	2.10197	1286
CTNNBIP1	1.82366	2.30516	2.11662	1286
LOC105376717	1.76267	2.3863	2.11072	1286
LOC124903838	1.78006	2.45101	2.09478	1286
LZIC	1.86061	2.37429	2.15096	1286
NMNAT1	1.84325	2.2736	2.07473	1286
TMEM274P	1.83981	2.34602	2.10067	1286
MIR5697	1.54167	2.56586	2.05087	1286
LOC124903840	1.65967	2.24701	1.9585	1286
RBP7	1.78951	2.51835	2.09971	1286
UBE4B	1.94544	2.36144	2.15026	1286
KIF1B	1.91764	2.32345	2.1222	1286
PGD	1.8838	2.34273	2.11072	1286
CENPS	1.8489	2.28974	2.05826	1286
CENPS-CORT	1.88428	2.23843	2.06503	1286
CORT	1.80891	2.55402	2.17795	1286
DFFA	1.8488	2.232	2.04619	1286
PEX14	1.92231	2.15715	2.05575	1286
CASZ1	1.9566	2.14816	2.05816	1286
LOC105376733	1.90539	2.36187	2.12282	1286
LOC105376735	1.83706	2.29887	2.06675	1286
C1orf127	1.87028	2.20372	2.05207	1286
TARDBP	1.84493	2.26686	2.06523	1286
MASP2	1.526	2.10543	1.92109	1286
SRM	1.64194	2.18843	1.94746	1286
EXOSC10	1.87534	2.25558	2.0659	1286
EXOSC10-AS1	1.67255	2.43943	2.07277	1286
MTOR	1.94216	2.2353	2.08519	1286
MTOR-AS1	1.79457	2.30758	2.056	1286
LOC124904848	1.55491	2.82505	2.20474	1286
ANGPTL7	1.769	2.34203	2.08745	1286
UBIAD1	1.90439	2.23143	2.07607	1286
LOC105376737	1.6831	2.29815	2.04781	1286
LOC105376739	1.71554	2.2943	2.00263	1286
LOC105376740	1.6684	2.1933	1.96469	1286
LOC124903841	1.67588	2.36045	2.04357	1286
DISP3	1.93041	2.16143	2.05139	1286
LOC124903842	1.7247	2.33986	2.04018	1286
LINC01647	1.76141	2.33744	2.03381	1286
FBXO2	1.843	2.30689	2.05962	1286
FBXO44	1.80177	2.20974	1.99898	1286
FBXO6	1.77367	2.21044	2.00097	1286
MAD2L2	1.83426	2.17829	2.01389	1286
DRAXIN	1.91764	2.17787	2.04206	1286
AGTRAP	1.9136	2.28402	2.102	1286
C1orf167	1.81393	2.19458	1.98363	1286
C1orf167-AS1	1.54664	2.30272	1.92559	1286
MTHFR	1.894	2.25543	2.07535	1286
CLCN6	1.88412	2.34687	2.15458	1286
NPPA-AS1	1.83951	2.40843	2.16732	1286
NPPA	1.655	2.44844	2.04722	1286
NPPB	1.76957	2.48173	2.11776	1286
RNU5E-1	1.37714	2.72991	1.96175	1286
LOC124903843	0.88601	2.4303	2.02543	1286
KIAA2013	1.75978	2.35473	2.06759	1286
PLOD1	1.77901	2.19215	1.98685	1286
MFN2	1.81826	2.40029	2.1156	1286
MIIP	1.80539	2.38001	2.13529	1286
MIR6729	1.62497	2.65816	2.25866	1286
TNFRSF8	1.86384	2.24443	2.0882	1286
MIR7846	1.79053	2.9963	2.41113	1286
TNFRSF1B	1.96639	2.26943	2.14225	1286
LOC124903844	1.84926	2.37629	2.11416	1286
MIR4632	1.62912	2.76274	2.21271	1286
VPS13D	2.02026	2.26086	2.14556	1286
LOC124903845	1.96339	2.37802	2.16486	1286
SNORA59A	1.72563	2.85772	2.35198	1286
LINC02766	1.71401	2.33244	2.03231	1286
DHRS3	1.8829	2.121	2.02193	1286
MIR6730	1.601	2.53229	2.07305	1286
AADACL4	1.77989	2.22573	2.06696	1286
LOC124903846	1.78257	2.29988	2.04626	1286
AADACL3	1.7685	2.17544	1.98999	1286
LOC124904811	1.51768	2.69175	2.12711	1286
CFAP107	1.87313	2.21186	2.06205	1286
PRAMEF12	1.69508	2.23944	1.97451	1286
PRAMEF1	0.21086	3.00572	1.91317	1286
PRAMEF15	0.68119	3.19044	2.03457	1286
PRAMEF14	0.34117	3.32329	1.95463	1286
PRAMEF19	1.11616	2.96414	2.11366	1286
PRAMEF17	1.18723	2.36972	2.04615	1286
PRAMEF20	1.0538	2.13458	1.92128	1286
LRRC38	1.34765	2.05672	1.9454	1286
LOC102724856	1.04068	2.22774	1.94588	1286
LOC107984918	1.6409	2.24801	1.94413	1286
PDPN	1.89264	2.14443	2.0061	1286
LOC105378612	1.70916	2.3466	2.07066	1286
LOC105376756	1.7759	2.34732	2.05049	1286
LOC124900446	1.58964	2.62943	2.10902	1286
PRDM2	1.92464	2.14658	2.03565	1286
KAZN	1.86786	2.03772	1.97514	1286
LOC107985467	1.8419	2.10729	1.99413	1286
LOC124903847	1.76421	2.12387	1.98372	1286
KAZN-AS1	1.85641	2.08373	1.97659	1286
LOC124903850	1.74926	2.15372	1.94585	1286
LOC105376759	1.04927	2.31003	2.00128	1286
LOC124903848	1.84654	2.26472	2.0622	1286
LOC107985469	1.8434	2.16772	2.00901	1286
LOC124903849	1.71611	2.43843	2.04465	1286
TMEM51-AS1	1.81413	2.15372	1.98547	1286
TMEM51	1.84003	2.11673	1.96139	1286
TMEM51-AS2	1.53914	2.18086	1.95333	1286
FHAD1	1.95444	2.13215	2.0484	1286
LOC124903853	1.82147	2.41534	2.10749	1286
LOC124903852	1.93867	2.40915	2.16795	1286
FHAD1-AS1	1.83057	2.18772	2.04088	1286
LOC124903851	1.82741	2.2803	2.06335	1286
EFHD2-AS1	1.78939	2.19087	1.99197	1286
EFHD2	1.8749	2.17686	2.03261	1286
CTRC	1.8967	2.28672	2.0846	1286
CELA2A	1.10699	2.23301	2.03876	1286
LOC105376767	1.12449	2.40086	2.09068	1286
CELA2B	1.35535	2.31887	2.08226	1286
CASP9	1.77844	2.21558	2.0056	1286
DNAJC16	1.80407	2.33846	2.08907	1286
SCARNA21B	1.57777	2.71688	2.11635	1286
AGMAT	1.68007	2.23972	1.9839	1286
LOC124903854	1.17744	2.29473	2.01877	1286
DDI2	1.83403	2.28559	2.10208	1286
RSC1A1	1.73775	2.52915	2.15467	1286
PLEKHM2	1.85711	2.98958	2.0815	1286
SLC25A34	1.23045	3.31089	2.16645	1286
SLC25A34-AS1	1.79901	3.13717	2.09754	1286
TMEM82	1.76513	3.06259	2.00718	1286
FBLIM1	1.82703	2.14572	2.01329	1286
UQCRHL	1.48793	2.40916	1.96	1286
SPEN-AS1	1.74534	2.31532	2.05499	1286
SPEN	1.8566	2.26843	2.09374	1286
LOC124904815	1.53591	2.72588	2.18217	1286
ZBTB17	1.95377	2.25872	2.13927	1286
LOC124903855	1.88696	2.29174	2.10812	1286
SRARP	1.7673	2.33917	2.04463	1286
HSPB7	1.61326	2.28274	1.90854	1286
CLCNKA	1.71677	3.5979	1.96814	1286
CLCNKB	1.14012	3.6493	1.90307	1286
FAM131C	1.81003	2.36044	2.04992	1286
EPHA2	1.88493	2.16829	2.04821	1286
EPHA2-AS1	1.90267	2.25872	2.08589	1286
LOC124903856	1.88237	3.14872	2.51302	1286
LOC124900584	3.5304	11.72932	6.9809	1286
CROCCP2	2.63099	10.16831	6.00654	1286
LOC124903858	0.88093	6.02043	2.7405	1286
LOC124903859	0.75201	5.01891	2.82041	1286
PADI4	1.72426	2.04187	1.87943	1286
LOC124903862	1.60654	2.53574	2.0963	1286
ARHGEF10L	1.86708	2.07615	1.98852	1286
LINC02810	1.70677	2.19687	1.95288	1286
ACTL8	1.79842	2.11559	1.98044	1286
LOC105376809	1.70918	2.10086	1.90308	1286
LOC105376812	1.66898	2.12472	1.88695	1286
LINC01654	1.60422	2.17472	1.9625	1286
IGSF21	1.82451	2.03958	1.93849	1286
IGSF21-AS1	1.76816	2.09929	1.93626	1286
LOC124903864	1.54644	2.42015	1.9635	1286
LOC124903863	1.79914	2.22687	2.02964	1286
LOC124903865	1.64185	2.25088	1.97132	1286
KLHDC7A	1.67224	2.2692	1.95686	1286
PAX7	1.88277	2.07972	1.98853	1286
TAS1R2	1.83964	2.20072	2.01055	1286
ALDH4A1	1.86767	2.14	2.01499	1286
MIR4695	1.52938	2.64988	2.11943	1286
MIR1290	1.68344	2.64393	2.1343	1286
LOC124903866	1.57705	2.48215	2.06331	1286
IFFO2	1.91654	2.16844	2.04249	1286
LOC105376815	1.87567	2.16072	2.01351	1286
UBR4	1.99613	2.19916	2.08557	1286
EMC1-AS1	1.91206	2.21444	2.07821	1286
EMC1	1.91677	2.19586	2.06186	1286
MRTO4	1.82903	2.27231	2.0387	1286
AKR7L	1.65057	2.22987	2.00017	1286
AKR7A3	1.03364	2.22716	2.0108	1286
LOC124903867	1.85528	2.22072	2.05106	1286
LOC100506730	1.60802	2.27286	1.95653	1286
AKR7A2	1.85517	2.28201	2.09682	1286
SLC66A1	1.84351	2.21902	2.03437	1286
CAPZB	1.93206	2.15501	2.04442	1286
LOC124903868	1.85567	2.317	2.09975	1286
LOC124903869	1.75828	2.25786	2.00237	1286
LOC105376819	1.79083	2.14587	1.98379	1286
LOC105376818	1.59537	2.22845	1.91466	1286
LOC105376817	1.7378	2.18301	1.97627	1286
LOC124904816	1.45631	2.52344	1.94438	1286
MICOS10-DT	1.7537	2.30615	2.0455	1286
MICOS10	1.87728	2.23643	2.06891	1286
MICOS10-NBL1	1.90103	2.16015	2.04066	1286
RPS14P3	1.66631	2.44373	2.07427	1286
NBL1	1.82977	2.15101	1.98124	1286
HTR6	1.85893	2.21473	2.03673	1286
TMCO4	1.96903	2.15358	2.06465	1286
RNF186	1.66228	2.49087	2.06406	1286
RNF186-AS1	1.74944	2.29815	2.00059	1286
LOC105376823	1.93231	2.26259	2.10402	1286
OTUD3	1.96626	2.21843	2.09764	1286
PLA2G2E	1.78657	2.32701	2.05454	1286
PLA2G2A	1.80144	2.32144	2.07875	1286
PLA2G5	1.89	2.09729	2.00825	1286
PLA2G2D	1.72398	2.15115	1.95206	1286
PLA2G2F	1.85477	2.21672	2.04092	1286
LOC117779438	1.81244	2.30929	2.05777	1286
PLA2G2C	1.90267	2.20086	2.0501	1286
UBXN10	1.86239	2.20901	2.03343	1286
LOC105376825	1.83741	2.26229	2.05433	1286
LOC105376826	1.73483	2.29929	2.01035	1286
LINC01757	1.66164	2.4033	2.04507	1286
LOC105376828	1.55305	2.21944	1.91389	1286
VWA5B1	1.91513	2.11258	2.00538	1286
LOC124903870	1.53842	2.4762	2.03079	1286
LINC01141	1.91093	2.10472	2.00798	1286
LOC124903871	1.6908	2.3053	2.00235	1286
CAMK2N1	1.6818	2.16886	1.91757	1286
MUL1	1.82861	2.30072	2.08778	1286
FAM43B	1.7467	2.45118	2.12685	1286
CDA	1.87177	2.16502	2.00525	1286
PINK1	1.82818	2.23701	2.03081	1286
MIR6084	1.57354	2.756	2.1804	1286
PINK1-AS	1.81354	2.28602	2.02737	1286
DDOST	1.8399	2.27572	2.04432	1286
KIF17	1.82088	2.21289	1.99205	1286
SH2D5	1.90418	2.30317	2.093	1286
HP1BP3	1.88013	2.27058	2.09555	1286
EIF4G3	1.96296	2.16658	2.07081	1286
LOC105376830	1.84259	2.27901	2.087	1286
LOC105376829	1.88311	2.27686	2.08837	1286
MIR1256	1.52418	2.30744	1.93883	1286
ECE1	1.94183	2.16686	2.07295	1286
LOC124903872	1.8179	2.27845	2.04235	1286
ECE1-AS1	1.8049	2.32586	2.06033	1286
LOC105376832	1.60567	2.39389	1.95693	1286
NBPF3	1.81293	2.26215	2.00225	1286
ALPL	1.89851	2.11986	2.01953	1286
LINC02596	1.69698	2.24116	1.97581	1286
RAP1GAP	1.88847	2.11301	2.00976	1286
USP48	1.87554	2.18331	2.04984	1286
LDLRAD2	1.87383	2.25915	2.09295	1286
HSPG2	1.92518	2.15244	2.05863	1286
CELA3B	0.80462	2.56303	1.7152	1286
CELA3A	0.48601	2.9825	2.01181	1286
LINC01635	1.53881	2.23358	1.89399	1286
LINC00339	1.54427	2.19676	1.87213	1286
CDC42	1.85928	2.19629	2.03987	1286
WNT4	1.891	2.15872	2.03164	1286
LOC105376845	1.87173	2.22531	2.0491	1286
LOC105376850	1.69716	2.22429	2.04589	1286
LOC107985377	1.73206	2.20472	1.97389	1286
MIR4418	1.00817	2.25573	1.86809	1286
LOC105376856	1.62797	2.19043	1.9437	1286
ZBTB40	1.97	2.17272	2.07231	1286
EPHA8	1.8709	2.18872	2.01993	1286
MIR6127	1.49154	2.53962	1.97899	1286
C1QA	1.68404	2.37959	2.04703	1286
C1QC	1.66151	2.234	1.95539	1286
C1QB	1.73513	2.13815	1.91742	1286
EPHB2	1.91316	2.11129	2.01762	1286
MIR4684	1.40458	2.61015	2.00611	1286
MIR4253	1.53475	2.73972	2.09188	1286
LOC124903874	1.79628	2.315	2.03195	1286
LACTBL1	1.84804	2.2	2.04368	1286
TEX46	1.7499	2.25902	2.00084	1286
KDM1A	1.91347	2.21143	2.08435	1286
MIR3115	1.34969	2.60501	2.01195	1286
LUZP1	1.93506	2.18115	2.07427	1286
HTR1D	1.86293	2.19173	2.03117	1286
LOC124903876	1.80893	2.25686	2.07224	1286
LOC107984928	1.62712	2.56218	2.10494	1286
MDS2	1.78375	2.20901	2.00456	1286
RPL11	1.79434	2.40401	2.10898	1286
ELOA	1.89067	2.35602	2.14825	1286
ELOA-AS1	1.61731	2.25916	2.07172	1286
PITHD1	1.80546	2.38088	2.13251	1286
LOC105376860	1.65226	2.21159	1.93453	1286
LYPLA2	1.71031	2.2303	1.98808	1286
GALE	1.87667	2.39817	2.14083	1286
HMGCL	1.84241	2.25187	2.08882	1286
LOC105376861	1.65273	2.19658	1.98974	1286
FUCA1	1.85654	2.34845	2.13396	1286
CNR2	1.64464	2.07272	1.83857	1286
MIR378F	1.63067	2.35286	2.00435	1286
LOC124903877	1.73567	2.30488	2.04059	1286
PNRC2	1.60435	2.32601	1.99587	1286
SRSF10	1.78165	2.31763	2.05145	1286
LOC105378615	1.64213	2.53433	2.07724	1286
LOC105376863	1.47988	2.26318	1.94591	1286
LOC107984931	1.79693	2.21959	2.02233	1286
MYOM3	1.94967	2.19058	2.06886	1286
MYOM3-AS1	1.87577	2.25272	2.07357	1286
LOC124903878	1.73716	2.47873	2.11095	1286
LOC105376864	1.802	2.33443	2.08596	1286
IL22RA1	1.95813	2.235	2.086	1286
LOC124903879	1.79726	2.22702	2.00713	1286
IFNLR1	1.87913	2.14359	2.0168	1286
LINC02800	1.76837	2.15743	1.972	1286
GRHL3-AS1	1.86206	2.20972	2.02814	1286
GRHL3	1.972	2.24072	2.10397	1286
STPG1	1.89918	2.282	2.11532	1286
NIPAL3	1.90781	2.29202	2.10593	1286
RCAN3AS	1.8493	2.33387	2.10216	1286
RCAN3	1.92564	2.28387	2.10449	1286
NCMAP-DT	1.85724	2.24815	2.07752	1286
NCMAP	1.66608	2.20301	2.03848	1286
SRRM1	1.89431	2.37401	2.14893	1286
LOC124904829	1.56318	2.69558	2.13962	1286
CLIC4	1.91	2.27686	2.10942	1286
LOC105376876	1.72764	2.22015	2.01744	1286
RUNX3	1.91884	2.2693	2.12137	1286
MIR6731	1.58363	2.69887	2.16002	1286
RUNX3-AS1	1.91814	2.31415	2.13739	1286
MIR4425	1.56431	2.72388	2.12176	1286
